author,title,date,category,text,url
Matius Alfons Hutajulu,"Arus Balik Lebaran, Sejumlah Titik Tol Arah Jakarta Padat Malam Ini","Rabu, 25 Mar 2026 00:35 WIB",berita,"Sejumlah ruas tol yang mengarah ke Jakarta mengalamikepadatansaatarus balik Lebaranmalam ini. Kepadatan diakibatkan adanya peningkatan volume kendaraan di ruas-ruas tol tersebut. Salah satu titik kepadatan terjadi di ruas Tol Purbaleunyi, tepatnya di sekitar Purwakarta. Jasa Marga melaporkan terjadi kepadatan hingga 5 kilometer di titik ini. ""Purwakarta KM 81-Sadang KM 76 arah Jakarta padat, kepadatan volume lalin,"" tulis @PTJASAMARGA pukul 00.07 WIB, Rabu (25/3/2026). Kemudian, titik kemacetan juga ditemukan di Tol Jakarta-Cikampek, tepatnya di Karawang Barat yang mengarah ke Jakarta. Kepadatan juga terjadi di sekitar Cikarang Barat. ""Karawang Barat KM 48-KM 47 arah Jakarta padat, kepadatan volume lalin. Cikarang Barat KM 28 arah Jakarta padat, kepadatan volume lalin,"" lanjut Jasa Marga. Selanjutnya, Jasa Marga juga melaporkan adanya kepadatan di Tol Layang MBZ. Kepadatan terjadi di sekitar Cibitung. ""Cibitung KM 26-KM 25 arah Jakarta padat, kepadatan volume lalin,"" tulis Jasa Marga.",https://news.detik.com/berita/d-8414071/arus-balik-lebaran-sejumlah-titik-tol-arah-jakarta-padat-malam-ini
Matius Alfons Hutajulu,"Kemenpar Ungkap 4,2 Juta Warga DKI Tak Mudik, Harap Bisa Liburan di Jakarta","Rabu, 25 Mar 2026 00:18 WIB",berita,"Kementerian Pariwisata (Kemenpar) mencatat ada 4,2 juta warga DKI Jakarta yang tidakmudik Lebaranke kampung halaman. Kemenpar berharap jutaan warga tersebut bisa berlibur di Jakarta. Angka 4,2 juta warga Jakarta yang tidak mudik diungkap oleh Deputi Bidang Pemasaran Kemenparekraf, Ni Made Ayu Marthini. Ia berharap warga yang tidak kembali ke kampung halaman bisa meramaikan tempat wisata di Jakarta. ""Memang benar dari data ditunjukkan ada sekitar 4 juta lebih masyarakat di Jakarta yang tidak akan mudik, mereka tetap di Jakarta,"" ujar Made kepada wartawan, Selasa (24/3/2026). ""Setelah hari raya, biasanya kan masih ada liburnya, di sekitar Jakarta atau bahkan dari luar, itu diharapkan terus ke Jakarta untuk berlibur,"" lanjut dia. Selain itu, ia menyinggung Pemprov DKI juga telah meluncurkan program 'Mudik ke Jakarta'. Menurut Made, fenomena banyaknya warga Jakarta yang tidak mudik bisa beri dampak positif bagi Jakarta, khususnya di bidang pariwisata. ""Untuk dampak ekonominya, perputaran uangnya nanti akan dihitung dulu. Kami akan berkoordinasi dengan Kementerian Perhubungan, BPS (Badan Pusat Statistik), dan pihak terkait lainnya, dan angka pastinya akan disampaikan secara resmi nanti ke publik,"" kata Made.",https://news.detik.com/berita/d-8414069/kemenpar-ungkap-4-2-juta-warga-dki-tak-mudik-harap-bisa-liburan-di-jakarta
Kadek Melda Luxiana,Heboh Pria di Tangerang Panjat Papan Reklame Diduga Hendak Bunuh Diri,"Rabu, 25 Mar 2026 00:16 WIB",berita,"Informasi dalam artikel ini tidak ditujukan untuk menginspirasi siapa pun untuk melakukan tindakan serupa. Bila Anda merasakan gejala depresi dengan kecenderungan berupa pemikiran untuk bunuh diri, segera konsultasikan persoalan ke pihak-pihak yang dapat membantu, seperti psikolog, psikiater, ataupun klinik kesehatan mental. Pria berinisial AB nekat naik papan reklame di Jalan Daan Mogot,Tangerang, diduga hendakbunuh diri. Aksi AB itu bikin heboh warga yang melintas. Peristiwa itu terjadi Senin (23/3/206) pukul 22.26 WIB. Warga yang melihat aksi AB kemudian menghubungi layanan darurat 110. AB naik ke papan reklame lewat jembatan penyeberangan orang (JPO). Petugas gabungan dari Polsek Batuceper bersama unsur Reskrim, Binmas, Lalu Lintas, serta tim pemadam kebakaran langsung menuju lokasi untuk melakukan pertolongan. Setibanya di lokasi, polisi melihat AB masih berada di posisi paling atas papan reklame. Sebagian arus lalu lintas di Jalan Daan Mogot arah Tangerang ditutup untuk melakukan evakuasi. Kapolres Metro Tangerang Kota, Kombes Raden Muhammad Jauhari menyampaikan proses evakuasi dilakukan dengan pendekatan persuasif. Setelah bernegosiasi sekitar satu setengah jam, AB berhasil diamankan. ""Petugas melakukan negosiasi secara humanis selama kurang lebih 90 menit hingga akhirnya yang bersangkutan berhasil diamankan dengan selamat,"" kata Jauhari kepada wartawan dalam.keterangannya, Selasa (24/3/2026). Berdasarkan hasil komunikasi di lapangan, AB diduga mengalami tekanan psikologis yang cukup berat akibat permasalahan keluarga. Kondisi tersebut diduga memicu AB untuk nekat mencoba mengakhiri hidup. ""Dari hasil pendalaman awal, yang bersangkutan mengalami stres berat karena kondisi keluarga broken home serta kehilangan ayahnya yang telah meninggal dunia,"" ujarnya. Setelah berhasil dievakuasi, AB langsung dibawa menggunakan ambulans untuk mendapatkan penanganan medis serta pemeriksaan kondisi kejiwaan lebih lanjut. ""Selanjutnya yang bersangkutan dibawa ke fasilitas kesehatan untuk dilakukan pemeriksaan secara menyeluruh, baik fisik maupun psikis,"" tambah Kapolres. Jauhari mengimbau masyarakat agar lebih peduli terhadap kondisi lingkungan sekitar, terutama terhadap individu yang mengalami tekanan mental. ""Kami mengajak masyarakat untuk lebih peka dan segera melapor melalui layanan 110 apabila menemukan situasi darurat atau ada warga yang membutuhkan bantuan,"" imbuhnya.",https://news.detik.com/berita/d-8414068/heboh-pria-di-tangerang-panjat-papan-reklame-diduga-hendak-bunuh-diri
Rizky Adha Mahendra,"Hilang 3 Hari, Wanita Disabilitas Asal Jaktim Ditemukan di Aliran Sungai Bogor","Selasa, 24 Mar 2026 23:46 WIB",berita,"Seorang wanita berinisial AM (19) ditemukan di aliran sungai kawasan Desa Cikeas, Kecamatan Sukaraja,Bogor, Jawa Barat. Wanita tersebut merupakan warga Duren Sawit, Jakarta Timur (Jaktim). ""Polsek Sukaraja berhasil menemukan sekaligus mempertemukan seorang perempuan yang sebelumnya dilaporkan hilang dengan pihak keluarganya, setelah dilakukan serangkaian upaya pencarian dan koordinasi intensif,"" kata Kapolsek Sukaraja AKP Ade Rahmat, Selasa (24/3/2026). Wanita tersebut ditemukan pertama kali pada Senin (23/3) sore kemarin. Wanita tersebut diketahui merupakan penyandang disabilitas sehingga mengalami kesulitan berkomunikasi. ""Saat ditemukan, korban dalam kondisi selamat setelah diduga hanyut di sungai. Namun, karena mengalami gangguan komunikasi, identitas korban tidak dapat diketahui secara langsung,"" ujarnya. Pihak kepolisian kemudian melakukan pengecekan ke lokasi ditemukannya wanita itu. Keterangan dari sejumlah saksi juga turut dikumpulkan. ""Dari hasil penelusuran, diperoleh informasi bahwa korban sempat terlihat di wilayah Cimahpar pada pagi hari sebelum akhirnya ditemukan di aliran sungai,"" imbuhnya. Malam harinya, pihaknya kemudian bersama pemerintah desa membawa korban ke UPT Balai Kesejahteraan Sosial Terpadu (BKST) Dinas Sosial Kabupaten Bogor guna mendapatkan penanganan lebih lanjut. Penyebaran informasi juga dilakukan guna mencari tahu identitasnya dan keluarga. ""Upaya tersebut membuahkan, ketika pihak keluarga korban menghubungi Bhabinkamtibmas Desa Cikeas setelah mendapatkan informasi terkait keberadaan anaknya yang hilang sejak 20 Maret 2026,"" ucapnya. Pencocokan data dan identitas keluarga kemudian dilakukan. Setelah dipastikan sesuai, wanita itu kemudian diserahkan kepada keluarganya. ""Proses penyerahan korban kepada pihak keluarga berlangsung dengan aman dan lancar. Pihak keluarga menyampaikan rasa syukur dan terima kasih atas kepedulian serta respon cepat jajaran Polsek Sukaraja dalam membantu menemukan anggota keluarga mereka,"" pungkasnya.",https://news.detik.com/berita/d-8414066/hilang-3-hari-wanita-disabilitas-asal-jaktim-ditemukan-di-aliran-sungai-bogor
Brigitta Belia Permata Sari,"Arab Saudi Sebut Gangguan Iran di Selat Hormuz Bahaya, Ancam Keamanan Energi","Selasa, 24 Mar 2026 23:20 WIB",berita,"Arab Saudimenyerukan komunitas internasional untuk bersama-sama menjaga keamananSelat Hormuzmenyusul meningkatnya ketegangan akibat serangan Iran di kawasan. Pihaknya menilai gangguan di selat strategis itu dapat mengancam lalu lintas energi dunia dan memicu guncangan ekonomi global. Hal tersebut disampaikan Duta Besar Arab Saudi untuk Indonesia, Faisal Abdullah Al Amoudi, dalam konferensi pers di Kediaman Dubes Arab Saudi, Menteng, Jakarta Pusat, Selasa (24/3/2026). ""Selat Hormuz adalah jalur utama kapal-kapal internasional. Setiap tindakan yang mengganggu keamanan selat ini akan berdampak besar pada ekonomi internasional,"" ujar Dubes Faisal. Faisal menegaskan Saudi mengecam keras tindakan Iran yang disebut telah menargetkan sejumlah fasilitas vital, termasuk jalur perairan yang menjadi pusat mobilitas energi dunia. ""Apa yang dilakukan Iran sangat berbahaya, tidak hanya bagi negara Teluk, tetapi bagi seluruh dunia. Aksi ini mengancam keamanan energi dan stabilitas ekonomi global,"" ungkapnya. Menurutnya, serangan Iran telah mengenai target sipil, fasilitas energi, hingga titik-titik penting yang berhubungan dengan distribusi minyak di kawasan. Dubes Saudi menyebut dukungan internasional terhadap upaya penghentian eskalasi Iran semakin kuat. Ia menyoroti resolusi Dewan Keamanan PBB Nomor 2817 yang didukung 136 negara, yang meminta Iran segera menghentikan seluruh bentuk serangan di kawasan. ""Resolusi itu jelas meminta Iran menghentikan tindakan yang meningkatkan ketegangan, termasuk gangguan di perairan Teluk dan Selat Hormuz,"" tuturnya. Dubes Faisal mengingatkan bahwa negara-negara berkembang akan menjadi pihak paling terdampak bila jalur energi terganggu. Banyak negara bergantung pada stabilitas distribusi minyak untuk menopang pemulihan ekonomi. ""Keamanan energi adalah urat nadi ekonomi dunia. Jika terhenti, dampaknya bukan hanya dirasakan negara penghasil, tetapi juga negara berkembang yang sangat bergantung pada pasokan energi,"" imbuhnya.",https://news.detik.com/berita/d-8414062/arab-saudi-sebut-gangguan-iran-di-selat-hormuz-bahaya-ancam-keamanan-energi
Mei Amelia R,"Tindak Tegas Tambang Ilegal, Polisi Bakar 3 Rakit PETI di Kuansing","Selasa, 24 Mar 2026 22:52 WIB",melindungi-tuah-marwah,"Polres Kuantan Singingi (Kuansing), Polda Riau, kembali menunjukkan komitmennya dalampemberantasan tambang emas ilegal.Sebanyak tiga rakit penambangan emas tanpa izin (PETI) di Kecamatan Kuantan Tengah, Kabupaten Kuansing dimusnahkan dengan cara dibakar. Kapolres Kuansing AKBP Hidayat Permana mengatakan operasi tersebut menindaklanjuti informasi masyarakat terkait adanya aktivitas tambang emas ilegal di Kelurahan Simpang Tiga yang berbatasan dengan Desa Pulau Godang Kari, Kecamatan Kuantan Tengah, Kabupaten Kuansing. ""Tim yang dipimpin Kanit Resmob Polres Kuansing Ipda Lukman bersama personel menuju ke lokasi, pada Selasa (24/3/2026) siang,"" kata AKBP Hidayat Permana dalam keterangannya, Selasa (24/3/2026). Sesampai di lokasi, petugas tidak menemukan adanya pelaku. Namun, petugas menemukantiga unit rakit PETI yang tidak beraktivitas. ""Selanjutnya, terhadap barang bukti tiga unit rakit PETI tersebut dilakukan pemusnahan di lokasi dengan cara dirusak dan dibakar,"" imbuhnya. Kapolres menegaskan upaya penegakan hukum akan terus dilakukan. Sementara masyarakat diimbau untuk tidak melakukan penambangan secara ilegal. ""Kami akan terus melakukan patroli dan pengawasan terhadap aktivitas PETI demi menjaga kelestarian lingkungan dan ketertiban masyarakat di Kabupaten Kuantan Singingi. Masyarakat yang mengetahui adanya aktivitas PETI diimbau untukmelapor ke layanancall center110,"" tuturnya. Lebih lanjut, Kapolres mengimbau masyarakat untuk tidak melakukan penambangan secara ilegal yang merusak lingkungan sebagai wujud komitmen semangat Green Policing yang diusung Polda Riau.",https://news.detik.com/melindungi-tuah-marwah/d-8414058/tindak-tegas-tambang-ilegal-polisi-bakar-3-rakit-peti-di-kuansing
Mei Amelia R,Kapolri Naikkan Pangkat Personel Polda Riau yang Gugur Saat Operasi Ketupat,"Selasa, 24 Mar 2026 22:18 WIB",melindungi-tuah-marwah,"Kapolri Jenderal Listyo Sigit Prabowo menaikkan pangkatAiptu Apendra,personel Polda Riau yang gugur saat melaksanakan tugas Operasi Ketupat Lancang Kuning 2026. Aiptu Apendra naik pangkat setingkat lebih tinggi menjadi Ipda (Anumerta). Kapolres Kampar AKBP Boby Ramadan Putra Sebayang mengatakan kenaikan pangkat tersebut tertuang dalam surat keputusan Kapolri tanggal 23 Maret 2026, yang menetapkan almarhum sebagai anggota Polri yang gugur dalam tugas, memberikan penghargaan Satyalancana Karya Bhakti Lencana Baik (KPLBA), menetapkan kenaikan pangkat secara luar biasa anumerta. AKBP Boby mengatakan Ipda (Anumerta) Apendra merupakan sosok Bhayangkara Polri yang menjalankan semangat Polri Bhineka Tunggal Ika-Bhakti untuk Rakyat. Ia juga menyebut Ipda (Anumerta) Apendra adalah sosok anggota Polri yang berdedikasi dalam tugas-tugasnya.""Selama tiga hari berturut-turut, beliau menjalankan tugas dengan penuh dedikasi, tanpa pernah mengeluh meskipun tubuh sudah menunjukkan tanda-tanda kelelahan. Itu adalah bukti nyata bahwa beliau lebih mengutamakan keselamatan masyarakat daripada kondisi dirinya sendiri,"" jelas Boby dalam keterangannya, Selasa (24/3/2926). Boby menambahkan dedikasi dan semangat Ipda (Anumerta) Apendrapatut menjadi tauladan personel Polres Kampar lainnya. Dengan kegigihannya dalam bertugas, Ipda (Anumerta) Apendra juga dinilai layak mendapatkan penghargaan dari Kapolri. ""Penghargaan yang diberikan oleh Kapolri adalah pengakuan yang sangat layak, dan kami berjanji akan menjaga semangatnya tetap hidup dalam setiap langkah kerja kami di Polres Kampar,"" imbuhnya. Ipda (Anm) Apendra meninggal dunia pada Sabtu (21/3) dini hari. Almarhum sebelumnya dibawa ke rumah sakit setelah mengeluhkan kelelahan dan sesak napas usai melakukan pengamanan malam takbiran pada Operasi Ketupat Lancang Kuning 2026. Almarhum resmi bertugas pada Operasi Ketupat Lancang Kuning pada Jumat (20/3). Meskipun kondisi fisiknya sudah mulai menunjukkan tanda-tanda kelelahan akibat padatnya jadwal, Apendra tidak pernah mengeluh atau meminta untuk diganti. ""Beliau tetap berdiri tegak di posnya, memastikan setiap langkah masyarakat dalam merayakan malam kemenangan berjalan aman dan khidmat,"" imbuhnya.Hingga sekitar pukul 01.00 WIB pada hari Sabtu, 21 Maret 2026, Apendra masih bertugas di dekat Kantor Camat Kampar, almarhum akhirnya mengeluhkan rasa kelelahan yang luar biasa disertai sesak napas. Rekannya, Bripka Fitriadi Solihan, segera membawanya dengan kendaraan bermotor roda empat (KBM R-4) menuju Puskesmas Kampa untuk mendapatkan pertolongan pertama. ""Namun, dalam perjalanan, kondisi almarhum semakin memburuk hingga tidak sadarkan diri,"" imbuhnya.Sesampainya di Puskesmas Kampa, tim medis segera melakukan tindakan resusitasi (Cardiopulmonary Resuscitation/CPR), namun kondisi tidak membaik. Ia langsung dirujuk ke Rumah Sakit Aulia Pekanbaru, dan sekira pukul 02.39 WIB, Apendradinyatakan telah meninggal dunia.",https://news.detik.com/melindungi-tuah-marwah/d-8414052/kapolri-naikkan-pangkat-personel-polda-riau-yang-gugur-saat-operasi-ketupat
Brigitta Belia Permata Sari,Dubes Saudi Pastikan Ibadah Haji Aman Meski Ada Konflik AS-Israel dan Iran,"Selasa, 24 Mar 2026 22:12 WIB",berita,"Duta Besar Arab Saudi untuk Indonesia, Faisal Abdullah Al Amoudi, memastikan penyelenggaraanibadah haji2026 tetap aman meski kawasan Timur Tengah tengah memanas akibat serangan yang dilakukanIran. Ia menegaskan situasi di Arab Saudi berjalan stabil dan seluruh persiapan haji sesuai rencana. Hal tersebut disampaikan Dubes Faisal dalam konferensi pers di Kediaman Dubes Arab Saudi di Menteng, Jakarta Pusat, Selasa (24/3/2026). ""Kerajaan Arab Saudi alhamdulillah sampai saat ini memang negaranya aman. Berkaitan dengan peristiwa ataupun berkaitan dengan haji ini sejalan ataupun sesuai dengan planning yang telah digariskan oleh pemerintah Kerajaan Arab Saudi bahwa semuanya akan berjalan dengan lancar,"" kata Dubes Faisal. Ketegangan meningkat setelah Iran melancarkan sejumlah serangan ke negara-negara Teluk, termasuk wilayah yang dekat dengan jalur maritim strategis. Namun Dubes Faisal menegaskan keamanan jemaah, termasuk dari Indonesia, yang menjadi kelompok terbesar tidak terganggu. Dalam kesempatan itu, Dubes Faisal juga kembali mengecam tindakan Iran yang dianggap memperburuk stabilitas kawasan dan mengabaikan diplomasi. ""Iran terus melakukan serangan tanpa menghiraukan seruan dialog yang diusung Arab Saudi maupun negara Teluk lainnya,"" ungkapnya. Arab Saudi, lanjutnya, menyambut baik sikap komunitas internasional yang melalui Resolusi DK PBB Nomor 2817 mendesak Iran menghentikan serangan serta aksi yang meningkatkan eskalasi. ""Dunia melihat apa yang terjadi dan mendesak Iran menghentikan tindakannya,"" katanya. Saat ditanya apakah ketegangan ini berpotensi memicu langkah lebih tegas dari Riyadh, Dubes Faisal menegaskan keamanan wilayah Saudi adalah prioritas. ""Jika ada ancaman terhadap Kerajaan Arab Saudi, tentu Saudi tidak akan tinggal diam,"" tegasnya. [Gambas:Video 20detik]",https://news.detik.com/berita/d-8414051/dubes-saudi-pastikan-ibadah-haji-aman-meski-ada-konflik-as-israel-dan-iran
Matius Alfons Hutajulu,Filipina Deklarasi Darurat Energi Buntut Perang AS-Israel dan Iran,"Selasa, 24 Mar 2026 22:05 WIB",internasional,"PemerintahFilipinakini mendeklarasikan keadaan darurat energi nasional dengan alasan bahaya yang mengancam pasokan bahan bakar negara akibat konflik Amerika Serikat (AS)-Israel melawanIran. Presiden Ferdinand Marcos Jr. mengatakan telah menandatangani perintah eksekutif untuk menjaga keamanan energi di tengah gangguan parah pada rantai pasokan global. Dilansir BBC, Selasa (24/3/2026), perang AS-Israel dengan Iran yang berakibat pada penutupan efektif Selat Hormuz, jalur pelayaran utama, telah mengirimkan gelombang kejut ke pasar energi global. Konflik tersebut menyebabkan kenaikan harga dan kekurangan pasokan. Padahal, Filipina sangat bergantung pada impor bahan bakar dan sangat rentan terhadap gangguan produksi dan pengiriman. ""Keadaan darurat energi nasional dengan ini dideklarasikan mengingat konflik yang sedang berlangsung di Timur Tengah, dan bahaya yang mengancam ketersediaan dan stabilitas pasokan energi negara,"" kata Marcos dalam perintah eksekutif yang dibagikan kepada media pada hari Selasa. Marcos mengatakan langkah ini akan memungkinkan pemerintah untuk mengambil ""langkah-langkah terkoordinasi"" untuk mengatasi gangguan dalam perekonomian negara. Ia menambahkan bahwa sebuah komite telah dibentuk untuk memastikan pergerakan, pasokan, distribusi, dan ketersediaan bahan bakar, makanan, obat-obatan, dan barang-barang penting lainnya berjalan tertib. Deklarasi tersebut akan tetap berlaku selama satu tahun kecuali diperpanjang atau dicabut oleh presiden. Hal ini menyusul seruan dari beberapa senator yang mendesak Marcos untuk mengakui kesulitan ""tingkat darurat"" yang dihadapi keluarga Filipina akibat melonjaknya harga minyak. Pada hari Selasa, lonjakan harga lainnya membuat harga bensin dan solar naik lebih dari dua kali lipat dari level sebelum perang pada bulan Februari. Filipina mengimpor sekitar 98% minyak mentahnya dari Teluk, dan konflik tersebut telah berdampak luas di negara itu, mulai dari transportasi hingga harga beras. Sejak permusuhan pecah, pemerintah telah memberikan subsidi kepada pengemudi transportasi, mengurangi layanan feri, dan menerapkan minggu kerja empat hari untuk pegawai negeri sipil untuk menghemat bahan bakar. Sebelumnya pada hari Selasa, Menteri Energi Sharon Garin mengatakan negara itu memiliki persediaan bahan bakar sekitar 45 hari lagi. Garin mengatakan kepada wartawan bahwa negara itu akan ""untuk sementara"" lebih bergantung pada pembangkit listrik tenaga batu bara untuk memenuhi kebutuhan energinya sebagai respons terhadap melonjaknya biaya gas alam cair (LNG). Asia sangat rentan terhadap blokade Selat Hormuz. Tahun lalu, hampir 90% dari seluruh minyak dan gas yang melewati jalur air tersebut menuju ke wilayah ini. [Gambas:Video 20detik]",https://news.detik.com/internasional/d-8414037/filipina-deklarasi-darurat-energi-buntut-perang-as-israel-dan-iran
Matius Alfons Hutajulu,Pemerintah Pastikan Sekolah Tetap Tatap Muka di Tengah Krisis Global,"Selasa, 24 Mar 2026 21:54 WIB",berita,"Menteri Koordinator Bidang Pembangunan Manusia dan Kebudayaan (Menko PMK)Pratiknomendorong proses belajar mengajar harus tetap berjalan optimal di tengah situasi krisi global saat ini. Pratikno memastikansekolahharus tetap berjalan tatap muka seperti biasa. Pratikno sempat menegaskan ulang arahan Presiden Prabowo Subianto pada Sidang Kabinet Paripurna di Istana Negara, pada Jumat, 13 Maret 2026 lalu. Ia menyebut Prabowo berpesan bahwa krisis global justru harus dijadikan momentum untuk mendorong percepatan agenda transformasi nasional. Menurutnya, selain swasembada pangan dan swasembada energi, perhatian sangat besar juga diarahkan terhadap peningkatan kualitas SDM Indonesia, terutama di bidang kesehatan dan pendidikan. ""Khusus di bidang pendidikan, sesuai hasil koordinasi dengan Mendikdasmen dan Menag, Menko PMK menyampaikan tentang pentingnya menjamin proses pembelajaran siswa tetap berjalan seperti biasa. Bahwa di sektor pendidikan, proses pembelajaran harus semakin optimal dan jangan sampai timbul learning loss. Oleh karena itu, diutamakan penyelenggaraan proses pembelajaran tetap berjalan secara luring bagi siswa. Demikian juga dengan layanan medis esensial tetap beroperasi secara sepenuhnya normal,"" kata Pratikno seperti dalam keterangan di website resmi Kemenko PMK, dilihat detikcom, Selasa (24/3/2026). Ia mengaku sebetulnya pernah ada diskusi tentang kemungkinan penggunaan metode hybrid yang mengkombinasikan luring dan daring. Namun, kata dia, mengingat pentingnya menjaga kualitas pendidikan siswa, pembicaraan lintas kementerian bahwa pembelajaran daring bagi siswa tidak menjadi sebuah urgensi saat ini. ""Sebagaimana prioritas luar biasa Bapak Presiden kepada sektor pendidikan, mulai dari revitalisasi sekolah, Sekolah Rakyat, dan Sekolah Unggul Garuda, maka kita harus mempercepat peningkatan kualitas pendidikan secara umum, baik yang berada di bawah Kemendikdasmen, Kemenag dan Kemendiktisainstek. Ini prioritas. Ini utama,"" ujarnya. Sebagai bagian dari transformasi pemerintahan, Menko PMK menginstruksikan untuk mempercepat transformasi Sistem Pemerintahan Berbasis Elektronik, peningkatan kinerja birokrasi, peningkatan pelayanan kepada masyarakat, serta efisiensi di segala bidang. Perjalanan dinas yang non-esensial harus dipangkas, optimalisasi pertemuan dan rapat secara daring, serta penerapan FWA (flexible working arrangement) secara terukur sebagai bagian dari transformasi kerja yang lebih efektif dan efisien. ""Pelayanan kepada masyarakat, peningkatan kualitas SDM, serta mendukung akselerasi pembangunan yang berkeadilan harus terus diperkuat dengan cara-cara yang lebih cerdas dan efisien,"" pungkasnya. [Gambas:Video 20detik]",https://news.detik.com/berita/d-8414030/pemerintah-pastikan-sekolah-tetap-tatap-muka-di-tengah-krisis-global
